time,position,pnl,cost,equity,exposure_on
2021-06-16,3.5937408971748446,0.0,0.0,1.0,1
2021-06-17,3.3511573954063247,-0.007312082242682578,0.0007277505053055595,0.9919601672520119,1
2021-06-18,4.176309878577017,0.062486280414317204,0.001650304966341385,1.052307031632325,1
2021-06-21,5.401202225602727,0.015602326364550587,0.00244978469405142,1.0661475437160286,1
2021-06-22,6.7673504977390735,0.010737457844217363,0.0027322965442726924,1.0746822267730152,1
2021-06-23,6.842380976679715,-0.016452653825830336,0.0001500609578812835,1.0568395842787786,1
2021-06-24,6.690963348438142,0.0024159337489698834,0.0004542528847247187,1.058912766267835,1
2021-06-25,6.728402328892855,0.009438609920676674,7.487796090942567e-05,1.0688281415799428,1
2021-06-28,6.608356067662049,0.10072585386596988,0.0003601387836924186,1.1761018423096754,1
2021-06-29,5.860905825270836,0.053710714370212305,0.002242350727173638,1.2366338796109175,1
2021-06-30,5.731864913140809,0.03705201537782228,0.000387122736390082,1.2819749280436095,1
2021-07-01,5.1805727142952085,0.059217911022620515,0.0016538765965368016,1.355770576934888,1
2021-07-02,5.049287309201306,0.04397002206229311,0.00039385621528170755,1.414849860445901,1
2021-07-05,4.791485563757271,0.03405779461391012,0.0007734052363321054,1.461942274111794,1
2021-07-06,0.0,-0.17072639053714828,0.0003754092465831924,1.1913355205746579,0
2021-07-07,0.0,0.17778324941315007,8.706466379126798e-05,1.1913355205746579,0
2021-07-08,0.0,-0.03608061784377085,0.0012572810005098277,1.1913355205746579,0
2021-07-09,0.0,-0.01600415216061251,0.00010254708455449801,1.1913355205746579,0
2021-07-12,0.0,-0.08069419587982676,0.0013931048561516093,1.1913355205746579,0
2021-07-13,0.0,-0.03412435130122987,0.0013391250646078144,1.1913355205746579,0
2021-07-14,0.0,-0.017198408074461585,0.00011344479179605394,1.1913355205746579,0
2021-07-15,0.0,0.013453699771353552,1.5478860944435623e-05,1.1913355205746579,0
2021-07-16,0.0,0.024614709575542168,1.9571309525943992e-05,1.1913355205746579,0
2021-07-19,0.0,-0.03854016137678877,0.0001454528203006884,1.1913355205746579,0
2021-07-20,0.0,0.01953993961424203,0.00037734606288402614,1.1913355205746579,0
2021-07-21,0.0,-0.00026466943478287326,8.975633153217899e-05,1.1913355205746579,0
2021-07-22,0.0,0.02031842406822752,5.546499713766196e-06,1.1913355205746579,0
2021-07-23,0.0,-0.013368924988076264,6.652613746034408e-05,1.1913355205746579,0
2021-07-26,0.0,-0.0018035773116542595,0.0006336098989780652,1.1913355205746579,0
2021-07-27,0.0,0.0023530602748584937,1.6246737551101732e-05,1.1913355205746579,0
2021-07-28,0.0,-0.017979349024999463,0.00012564603347125968,1.1913355205746579,0
2021-07-29,0.0,0.026362111373733784,0.00010505042393673492,1.1913355205746579,0
2021-07-30,0.0,0.005747706918137262,5.6834175601556684e-05,1.1913355205746579,0
2021-08-02,0.0,-0.0015782818930360953,3.7805707434273476e-05,1.1913355205746579,0
2021-08-03,0.0,0.014603878916355801,4.2174513016149716e-05,1.1913355205746579,0
2021-08-04,0.0,-0.003229894626702385,0.00021521798627624646,1.1913355205746579,0
2021-08-05,0.0,0.0019679596677684916,3.430250781682176e-05,1.1913355205746579,0
2021-08-06,0.0,-0.004847818718684017,1.699099687097938e-05,1.1913355205746579,0
2021-08-09,0.0,0.04869920629744851,0.001623483124604799,1.1913355205746579,0
2021-08-10,0.0,-0.003220090765748163,0.00020004125619134516,1.1913355205746579,0
2021-08-11,0.0,0.004110597517390244,9.567169949093123e-06,1.1913355205746579,0
2021-08-12,0.0,-0.005890687647113396,0.0001939172767587376,1.1913355205746579,0
2021-08-13,0.0,0.009311998102259217,0.00024723164656637666,1.1913355205746579,0
2021-08-16,0.0,0.007370837860371843,0.00033547712891416205,1.1913355205746579,0
2021-08-17,3.8439093500993464,0.00038365594208719954,0.0001539021065377657,1.182176749081373,1
2021-08-18,3.9711817575352417,0.0014011477257524143,0.0002545448148717906,1.1835322363830452,1
2021-08-19,4.190292458419023,0.04746435364988498,0.00043822140176756277,1.2391891798511043,1
2021-08-23,4.1436572768776205,-0.034138725467578464,0.00013990554462420767,1.1967114712006741,1
2021-08-24,4.142029380524446,0.008526413507925516,4.883689059524521e-06,1.2069092836870896,1
2021-08-25,4.133588789389051,0.008174968493791054,2.5321773406185243e-05,1.2167451679726922,1
2021-08-26,4.188514628075789,-0.008715880694894738,0.00010985167737347723,1.2060065007549146,1
2021-08-27,4.191904343910931,0.0056095493494399355,6.779431670283387e-06,1.2127634776979788,1
2021-08-30,4.108808298807393,0.004473134630280393,0.00024928813531061424,1.2178860044624806,1
2021-08-31,4.104947947322384,0.013877761854525803,1.1581054455025885e-05,1.2347734319942332,1
2021-09-01,4.1170807753014556,-0.009548629229027147,2.4265655958142674e-05,1.2229530757229798,1
2021-09-06,4.137325154436844,-0.0026325322506347984,4.0488758270777585e-05,1.2196840964586666,1
2021-09-07,4.0584783697342495,0.00939832465440983,0.00023654035410778463,1.2308585790649296,1
2021-09-08,4.095146297147963,-0.029846377289470826,7.333585482742677e-05,1.1940316434581084,1
2021-09-09,4.137863114596495,0.041523638571447946,8.543363489706479e-05,1.2435101714004522,1
2021-09-10,4.045381697539237,0.0024441215059896717,0.00027744425117177496,1.2462044566049602,1
2021-09-13,3.997465470731413,0.028929887030182927,0.00014374868042347176,1.2820778705048772,1
2021-09-14,3.8327801743569223,0.00692974587038153,0.0004940558891234721,1.290328926211278,1
2021-09-15,3.8580640721432093,0.023981808413411663,5.056779557257407e-05,1.321208098220598,1
2021-09-16,3.8944705442389678,0.011267771588540794,7.281294419151685e-05,1.335998968240757,1
2021-09-17,4.05122947153422,0.010059687624055862,0.0003135178545905042,1.3490198409970622,1
2021-09-20,3.9747253904091218,0.027304713899508955,0.00022951224337529433,1.385544825230183,1
2021-09-21,3.9459529317441606,-0.004459940089956217,8.631737599488343e-05,1.3792457817240704,1
2021-09-22,4.009445405841829,0.027850059576161316,0.0001269849481953367,1.417482715461114,1
2021-09-23,4.019731717688902,-0.003589324933309503,2.0572623694146587e-05,1.412365748069476,1
2021-09-24,4.055288606088183,-0.0032649637040778365,7.11137767985619e-05,1.4076539865025803,1
2021-09-27,4.199007824183088,-0.036718966779943574,0.00028743843618980947,1.3555617726739604,1
2021-09-28,4.296819516046571,0.03050728381246318,0.00019562338372696608,1.396651100817429,1
2021-09-29,4.294496405288076,-0.003895276405166961,6.969332275486018e-06,1.39120102501257,1
2021-09-30,4.320587079790064,0.0034523155459063367,5.218134900397686e-05,1.3959312951924807,1
2021-10-01,4.227631609572342,-0.02885159951774251,0.0002788664106531673,1.3552671661594948,1
